age,education_num,hours_per_week,occupation,annual_income
23,14,36.2,technical,148878.17
62,8,35.4,technical,120613.8
55,14,47.7,service,168408.76
43,8,48.2,sales,117521.52
43,8,34.6,professional,111930.97
67,9,36.0,management,123650.47
22,12,45.4,service,125827.39
58,13,31.7,management,140898.23
29,11,35.9,service,124985.1
23,9,40.9,sales,114377.1
48,9,50.0,service,123959.88
74,15,34.0,technical,170058.16
60,16,21.6,sales,181162.88
62,14,20.8,sales,152825.99
59,8,27.4,sales,107490.6
63,15,26.9,professional,176346.34
47,14,38.5,management,159548.1
25,12,28.1,management,115742.97
66,9,33.0,service,122474.09
44,16,32.3,technical,172698.67
47,11,35.6,management,127458.55
39,8,53.2,professional,104792.87
28,9,46.6,service,105440.73
71,11,40.2,service,151638.94
63,8,35.4,service,117835.82
55,10,35.7,service,118702.27
41,12,43.3,management,144886.05
65,16,45.8,professional,176248.86
49,8,30.9,sales,103835.87
43,13,40.4,management,142962.02
44,16,19.7,professional,165927.46
31,15,42.1,professional,161911.24
23,16,47.6,technical,172954.0
50,9,37.2,professional,113190.67
69,15,58.2,technical,197499.7
21,16,31.2,service,156464.22
67,10,42.2,service,128743.78
66,12,39.6,technical,166310.99
34,12,39.0,technical,121850.84
54,12,38.9,professional,147852.48
27,10,41.1,sales,113796.68
61,16,48.5,sales,194493.62
58,16,53.8,technical,190301.01
38,11,40.0,management,131607.64
21,15,48.2,sales,144437.86
74,11,33.0,professional,147155.27
43,15,47.7,professional,166043.58
69,13,32.4,service,156399.28
57,12,50.9,professional,156640.01
63,9,62.1,service,147623.82
62,13,38.8,technical,157190.04
29,10,18.1,service,105088.3
39,9,34.5,management,108970.6
45,9,52.3,management,116834.24
46,16,45.5,sales,178903.44
20,8,42.5,sales,90851.51
49,15,50.1,service,170715.4
26,15,44.8,sales,159045.65
61,8,52.2,management,128351.83
57,13,49.2,technical,151310.28
71,13,55.2,technical,164027.1
61,11,43.6,service,147076.7
39,14,49.1,service,152823.42
74,11,36.9,technical,151716.94
41,11,34.0,sales,130110.89
36,11,57.1,management,125968.9
70,15,42.2,service,176410.15
39,13,48.0,sales,159303.32
22,11,41.2,service,118008.65
45,16,34.1,service,170887.31
64,15,40.1,sales,174185.81
28,16,54.4,professional,169518.31
44,14,45.6,sales,151958.96
25,11,22.9,service,113471.95
57,14,37.8,service,159511.13
45,10,57.8,sales,140183.45
37,10,37.9,sales,113892.89
31,12,22.0,technical,112970.11
50,16,58.9,professional,187979.02
56,13,46.8,management,142588.74
72,11,39.3,service,148872.81
43,12,36.3,technical,134905.95
27,10,50.8,service,121986.62
66,13,34.6,sales,147650.78
54,11,51.5,professional,151310.41
58,12,45.4,sales,156870.49
23,11,42.4,management,125226.91
36,10,41.5,sales,117430.5
62,16,38.3,professional,194366.21
66,11,50.5,professional,142030.81
43,8,31.3,sales,107404.57
64,11,23.8,technical,130509.73
66,12,46.1,professional,146799.83
40,8,46.3,technical,101594.04
70,10,44.8,sales,143450.14
34,9,44.1,technical,105046.24
31,12,36.8,professional,130336.03
57,14,47.9,technical,158321.47
54,16,39.5,service,169061.5
26,11,35.1,service,124084.27
66,15,36.9,sales,185755.31
29,9,60.2,sales,108954.77
64,15,22.7,sales,170634.15
18,13,45.0,technical,138668.3
64,14,23.2,service,164133.56
63,14,38.9,management,170312.03
63,12,35.7,service,156788.07
56,10,19.1,technical,114755.57
45,12,43.9,service,141796.89
58,15,36.2,sales,173789.79
34,16,19.0,professional,155819.62
63,16,48.4,service,191522.1
50,9,54.4,service,127727.86
44,13,54.9,professional,155912.0
47,8,43.6,sales,105488.62
50,14,40.5,professional,166308.85
20,16,53.3,management,160296.57
26,8,56.8,management,103463.73
32,13,51.3,management,143407.97
24,16,30.6,sales,159287.42
43,15,42.0,sales,152829.24
56,11,44.4,sales,147051.13
55,8,21.9,technical,101575.81
45,16,44.7,professional,187349.45
67,16,62.7,professional,201631.59
50,13,46.4,professional,154894.83
22,16,54.7,professional,181281.59
62,8,41.8,sales,120032.47
51,13,39.3,professional,160042.49
54,8,43.8,professional,117579.93
50,16,31.8,service,178551.38
50,14,30.4,technical,155997.83
23,16,52.7,professional,173913.92
50,13,53.7,management,154784.6
64,8,30.1,professional,110381.74
35,8,49.7,sales,103102.39
52,11,39.1,technical,136212.71
19,14,43.4,management,139577.48
38,9,44.6,management,118109.67
43,15,49.9,sales,179445.7
74,10,40.8,technical,137684.86
30,12,54.1,sales,131939.74
34,9,43.1,technical,100527.9
41,12,46.2,service,153284.96
